Tipo,Tempo(milisec),N
Fib_1,0.000002,10
Fib_2,0.000003,10
Fib_3,0.000002,10
Fib_r,0.000010,10
Fib_r_c,0.000002,10
Fib_1,0.000002,20
Fib_2,0.000005,20
Fib_3,0.000002,20
Fib_r,0.000250,20
Fib_r_c,0.000002,20
Fib_1,0.000002,30
Fib_2,0.000002,30
Fib_3,0.000002,30
Fib_r,0.024502,30
Fib_r_c,0.000001,30
Fib_1,0.000000,40
Fib_2,0.000001,40
Fib_3,0.000002,40
Fib_r,1.122545,40
Fib_r_c,0.000001,40
Fib_1,0.000001,50
Fib_2,0.000001,50
Fib_3,0.000000,50
Fib_r,124.659834,50
Fib_r_c,0.000001,50
