Tipo.Tempo(nanosec).N
Fib_1.29000.10
Fib_2.32000.10
Fib_3.14000.10
Fib_R.129000.10
Fib_R_C.29000.10
Fib_1.7000.20
Fib_2.11000.20
Fib_3.5000.20
Fib_R.1677000.20
Fib_R_C.13000.20
Fib_1.11000.30
Fib_2.14000.30
Fib_3.6000.30
Fib_R.40850000.30
Fib_R_C.11000.30
Fib_1.4000.40
Fib_2.8000.40
Fib_3.2000.40
Fib_R.671329000.40
Fib_R_C.11000.40
Fib_1.3000.50
Fib_2.14000.50
Fib_3.2000.50
Fib_R.82347010000.50
Fib_R_C.18000.50
